"Permanent & long-term migration by age, sex and NZ area (Annual-Mar)","","","","",""
"","","","","Arrivals","Departures"
"TOTAL ALL AREAS","0-4 years","Female",1997,2708,1715
" "," "," ",1998,2208,1749
" "," "," ",1999,1858,2017
" "," "," ",2000,1887,2105
" "," "," ",2001,1923,2489
" "," "," ",2002,2382,1718
" "," "," ",2003,2632,1528
" "," "," ",2004,2520,1631
" "," "," ",2005,2367,2025
" "," "," ",2006,2487,2251
" "," "," ",2007,2588,2301
" "," "," ",2008,2611,2592
" "," "," ",2009,2787,2727
" "," "," ",2010,2382,2067
" "," "," ",2011,2333,2531
" "," "," ",2012,2351,3086
" "," "," ",2013,2501,3070
" "," "," ",2014,2790,2204
" "," "," ",2015,3002,1679
" "," "," ",2016,3418,1558
" "," ","Male",1997,2865,1884
" "," "," ",1998,2346,1858
" "," "," ",1999,1932,2148
" "," "," ",2000,1996,2203
" "," "," ",2001,2073,2505
" "," "," ",2002,2485,1858
" "," "," ",2003,2845,1616
" "," "," ",2004,2691,1665
" "," "," ",2005,2518,2127
" "," "," ",2006,2668,2275
" "," "," ",2007,2780,2386
" "," "," ",2008,2778,2740
" "," "," ",2009,2994,2833
" "," "," ",2010,2414,2052
" "," "," ",2011,2440,2732
" "," "," ",2012,2461,3230
" "," "," ",2013,2666,3099
" "," "," ",2014,2905,2192
" "," "," ",2015,3170,1795
" "," "," ",2016,3538,1677
" ","5-9 years","Female",1997,2558,1413
" "," "," ",1998,2118,1598
" "," "," ",1999,1823,1893
" "," "," ",2000,1761,1927
" "," "," ",2001,1851,2363
" "," "," ",2002,2379,1590
" "," "," ",2003,2763,1441
" "," "," ",2004,2521,1527
" "," "," ",2005,2152,1862
" "," "," ",2006,2386,1889
" "," "," ",2007,2491,1950
" "," "," ",2008,2325,2287
" "," "," ",2009,2280,2265
" "," "," ",2010,1980,1734
" "," "," ",2011,1959,1940
" "," "," ",2012,1703,2394
" "," "," ",2013,1815,2394
" "," "," ",2014,2122,1817
" "," "," ",2015,2369,1503
" "," "," ",2016,2561,1422
" "," ","Male",1997,2801,1549
" "," "," ",1998,2156,1748
" "," "," ",1999,1938,1984
" "," "," ",2000,1909,2114
" "," "," ",2001,2021,2488
" "," "," ",2002,2632,1689
" "," "," ",2003,3035,1428
" "," "," ",2004,2730,1529
" "," "," ",2005,2346,1968
" "," "," ",2006,2457,2005
" "," "," ",2007,2543,1995
" "," "," ",2008,2443,2202
" "," "," ",2009,2410,2446
" "," "," ",2010,2080,1616
" "," "," ",2011,1928,2063
" "," "," ",2012,1901,2546
" "," "," ",2013,1852,2516
" "," "," ",2014,2152,1860
" "," "," ",2015,2364,1510
" "," "," ",2016,2775,1397
" ","10-14 years","Female",1997,2417,1130
" "," "," ",1998,1811,1289
" "," "," ",1999,1489,1535
" "," "," ",2000,1550,1703
" "," "," ",2001,1864,1949
" "," "," ",2002,2532,1500
" "," "," ",2003,2902,1389
" "," "," ",2004,2608,1671
" "," "," ",2005,2187,2012
" "," "," ",2006,2378,1894
" "," "," ",2007,2333,1861
" "," "," ",2008,2274,2180
" "," "," ",2009,2182,2242
" "," "," ",2010,2066,1695
" "," "," ",2011,1836,1868
" "," "," ",2012,1732,2258
" "," "," ",2013,1700,2168
" "," "," ",2014,1810,1584
" "," "," ",2015,2027,1218
" "," "," ",2016,2204,1114
" "," ","Male",1997,2635,1242
" "," "," ",1998,1921,1349
" "," "," ",1999,1674,1517
" "," "," ",2000,1737,1745
" "," "," ",2001,1929,2121
" "," "," ",2002,2685,1477
" "," "," ",2003,3119,1421
" "," "," ",2004,2698,1692
" "," "," ",2005,2349,2035
" "," "," ",2006,2430,2066
" "," "," ",2007,2537,1937
" "," "," ",2008,2451,2286
" "," "," ",2009,2420,2364
" "," "," ",2010,2077,1674
" "," "," ",2011,1955,1999
" "," "," ",2012,1823,2226
" "," "," ",2013,1767,2217
" "," "," ",2014,1930,1567
" "," "," ",2015,2094,1261
" "," "," ",2016,2381,1143
" ","15-19 years","Female",1997,3354,2510
" "," "," ",1998,2769,2590
" "," "," ",1999,2577,2742
" "," "," ",2000,3327,2892
" "," "," ",2001,4093,3212
" "," "," ",2002,5896,2496
" "," "," ",2003,6188,2498
" "," "," ",2004,4702,2710
" "," "," ",2005,3854,3127
" "," "," ",2006,3799,3103
" "," "," ",2007,3955,3000
" "," "," ",2008,3837,3214
" "," "," ",2009,4426,3510
" "," "," ",2010,4410,2718
" "," "," ",2011,4355,3288
" "," "," ",2012,4255,3810
" "," "," ",2013,4117,3597
" "," "," ",2014,4783,2985
" "," "," ",2015,5186,2408
" "," "," ",2016,5788,2381
" "," ","Male",1997,3482,2111
" "," "," ",1998,2587,2303
" "," "," ",1999,2479,2488
" "," "," ",2000,3241,2779
" "," "," ",2001,4486,2970
" "," "," ",2002,6661,2232
" "," "," ",2003,6864,2446
" "," "," ",2004,4951,2583
" "," "," ",2005,3685,2935
" "," "," ",2006,3754,2961
" "," "," ",2007,3982,2880
" "," "," ",2008,4316,3341
" "," "," ",2009,4923,3570
" "," "," ",2010,5059,2752
" "," "," ",2011,5194,3126
" "," "," ",2012,5215,3761
" "," "," ",2013,4815,3564
" "," "," ",2014,5744,2914
" "," "," ",2015,6698,2270
" "," "," ",2016,6702,2213
" ","20-24 years","Female",1997,4967,6751
" "," "," ",1998,4241,6687
" "," "," ",1999,3965,6875
" "," "," ",2000,4120,7056
" "," "," ",2001,4715,7753
" "," "," ",2002,6568,6250
" "," "," ",2003,7674,6088
" "," "," ",2004,6702,6343
" "," "," ",2005,6069,7068
" "," "," ",2006,6039,6961
" "," "," ",2007,6150,6701
" "," "," ",2008,6254,7200
" "," "," ",2009,7232,7339
" "," "," ",2010,7367,5890
" "," "," ",2011,7306,6998
" "," "," ",2012,7465,8376
" "," "," ",2013,7591,8281
" "," "," ",2014,8850,6717
" "," "," ",2015,10144,5890
" "," "," ",2016,11632,5683
" "," ","Male",1997,4231,6116
" "," "," ",1998,3473,6204
" "," "," ",1999,3145,6746
" "," "," ",2000,3761,6660
" "," "," ",2001,4383,7133
" "," "," ",2002,6286,5755
" "," "," ",2003,8039,5427
" "," "," ",2004,6319,6193
" "," "," ",2005,5412,6810
" "," "," ",2006,5536,6795
" "," "," ",2007,5604,6475
" "," "," ",2008,6775,7065
" "," "," ",2009,8198,7385
" "," "," ",2010,8535,5656
" "," "," ",2011,8778,7123
" "," "," ",2012,8807,8378
" "," "," ",2013,8660,8241
" "," "," ",2014,10139,6209
" "," "," ",2015,13807,5425
" "," "," ",2016,13528,5511
" ","25-29 years","Female",1997,7171,5015
" "," "," ",1998,6265,5626
" "," "," ",1999,5944,6267
" "," "," ",2000,6626,6568
" "," "," ",2001,6534,7081
" "," "," ",2002,7844,6092
" "," "," ",2003,8224,5536
" "," "," ",2004,8049,5285
" "," "," ",2005,7494,5913
" "," "," ",2006,7449,5989
" "," "," ",2007,7721,6043
" "," "," ",2008,7708,6546
" "," "," ",2009,8378,6866
" "," "," ",2010,8363,5599
" "," "," ",2011,7869,6774
